symbol,date,close,price,provider
CSCO,2025-10-25,70.63,,finnhub
APP,2025-10-25,620.0,,finnhub
PFE,2025-10-25,24.76,,finnhub
BA,2025-10-25,221.35,,finnhub
AZO,2025-10-25,3805.56,,finnhub
NFLX,2025-10-25,1094.69,,finnhub
GE,2025-10-25,303.87,,finnhub
RTX,2025-10-25,178.65,,finnhub
TSLA,2025-10-25,433.72,,finnhub
PYPL,2025-10-25,69.77,,finnhub
LRCX,2025-10-25,151.68,,finnhub
EQIX,2025-10-25,839.49,,finnhub
CRWD,2025-10-25,527.32,,finnhub
PCAR,2025-10-25,100.13,,finnhub
ASML,2025-10-25,1033.1,,finnhub
LT,2025-10-25,0.0,,finnhub
NVO,2025-10-25,52.96,,finnhub
ADBE,2025-10-25,353.52,,finnhub
ADSK,2025-10-25,312.88,,finnhub
META,2025-10-25,738.36,,finnhub
INFY,2025-10-25,17.48,,finnhub
MARUTI,2025-10-25,0.0,,finnhub
RELIANCE,2025-10-25,0.0,,finnhub
COST,2025-10-25,932.14,,finnhub
ADI,2025-10-25,238.01,,finnhub
ACN,2025-10-25,247.65,,finnhub
ORCL,2025-10-25,283.33,,finnhub
INTU,2025-10-25,683.09,,finnhub
NOW,2025-10-25,930.17,,finnhub
INTC,2025-10-25,38.28,,finnhub
FTNT,2025-10-25,85.56,,finnhub
AVGO,2025-10-25,354.13,,finnhub
IBM,2025-10-25,307.46,,finnhub
VZ,2025-10-25,38.82,,finnhub
NVDA,2025-10-25,186.26,,finnhub
LLY,2025-10-25,825.45,,finnhub
AMZN,2025-10-25,224.21,,finnhub
KLAC,2025-10-25,1182.82,,finnhub
PEP,2025-10-25,151.55,,finnhub
PG,2025-10-25,152.49,,finnhub
KO,2025-10-25,69.71,,finnhub
JPM,2025-10-25,300.44,,finnhub
OSCR,2025-10-25,19.29,,finnhub
CTSH,2025-10-25,67.86,,finnhub
MCHP,2025-10-25,63.17,,finnhub
MMM,2025-10-25,168.5,,finnhub
ZM,2025-10-25,84.28,,finnhub
OKTA,2025-10-25,89.07,,finnhub
JNJ,2025-10-25,190.4,,finnhub
AAPL,2025-10-25,262.82,,finnhub
VRTX,2025-10-25,421.39,,finnhub
WIPRO,2025-10-25,0.0,,finnhub
AMD,2025-10-25,252.92,,finnhub
CVX,2025-10-25,155.56,,finnhub
WMT,2025-10-25,106.17,,finnhub
QCOM,2025-10-25,168.94,,finnhub
HEROMOTOCO,2025-10-25,0.0,,finnhub
V,2025-10-25,347.38,,finnhub
BKNG,2025-10-25,5146.16,,finnhub
HD,2025-10-25,386.68,,finnhub
HON,2025-10-25,216.14,,finnhub
NET,2025-10-25,217.85,,finnhub
DDOG,2025-10-25,156.47,,finnhub
CAT,2025-10-25,522.73,,finnhub
SMCI,2025-10-25,48.29,,finnhub
SPGI,2025-10-25,489.45,,finnhub
AMEX,2025-10-25,0.0,,finnhub
SUMO,2025-10-25,0.0,,finnhub
SBUX,2025-10-25,86.09,,finnhub
XOM,2025-10-25,115.39,,finnhub
SPLK,2025-10-25,0.0,,finnhub
ICICIBANK,2025-10-25,0.0,,finnhub
CDNS,2025-10-25,345.1,,finnhub
HDB,2025-10-25,36.76,,finnhub
MRK,2025-10-25,87.49,,finnhub
GOOGL,2025-10-25,259.92,,finnhub
CMCSA,2025-10-25,29.28,,finnhub
IDXX,2025-10-25,640.85,,finnhub
GILD,2025-10-25,120.94,,finnhub
SMPL,2025-10-25,20.26,,finnhub
TCS,2025-10-25,0.0,,finnhub
BRK.B,2025-10-25,492.1,,finnhub
T,2025-10-25,25.14,,finnhub
MSFT,2025-10-25,523.61,,finnhub
CRM,2025-10-25,254.83,,finnhub
ISRG,2025-10-25,546.51,,finnhub
RBLX,2025-10-25,127.71,,finnhub
MU,2025-10-25,219.02,,finnhub
TM,2025-10-25,205.37,,finnhub
MA,2025-10-25,573.67,,finnhub
AMAT,2025-10-25,228.75,,finnhub
UPST,2025-10-25,52.69,,finnhub
MDLZ,2025-10-25,60.77,,finnhub
ARM,2025-10-25,170.68,,finnhub
KONE,2025-10-25,0.0,,finnhub
SNPS,2025-10-25,464.18,,finnhub
BAJAJ,2025-10-25,0.0,,finnhub
ABBV,2025-10-25,227.99,,finnhub
LIN,2025-10-25,446.0,,finnhub
